Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
VendOp,https://www.crunchbase.com/organization/vendop,,"San Francisco, California, United States","VendOp makes it easier to organize, access and generate knowledge about supplier and vendor relationships.","34,889",8/14/13,,1,4/8/15,1100000,Seed,1100000,Operating
Vave Health,https://www.crunchbase.com/organization/vave-health,Health Care,"Redwood City, California, United States",Vave Health is health private clinic tool colleagues and students patients driving clinical efficient better.,"13,448",1/1/15,,1,4/8/15,2000000,Seed,2000000,Operating
Midas League,https://www.crunchbase.com/organization/midas-league,"Financial Services, Lending and Investments","San Francisco, California, United States",Midas League is a technology platform that connects family offices with venture capital funds for co-investments.,"31,234",1/16/15,,1,4/8/15,2000000,Seed,2000000,Operating
Stanza,https://www.crunchbase.com/organization/spoton-it,"Media and Entertainment, Events, Software","San Francisco, California, United States",Powering Calendar Everywhere.,"7,816",1/1/12,,2,4/9/15,4300000,Seed,4300000,Operating
Cheddar Up,https://www.crunchbase.com/organization/cheddar-up,"Community and Lifestyle, Payments, Internet Services, Financial Services","Denver, Colorado, United States",Collecting money from groups just got fun,"25,144",10/1/12,,2,4/9/15,725000,Seed,725000,Operating
WhoHub,https://www.crunchbase.com/organization/piggy-inc,Real Estate,"Alexandria, Virginia, United States","WhoHub is a real estate agents referral portal that connects vendors, homeowners, and agents.","36,767",9/1/14,,1,4/10/15,500000,Seed,500000,Operating
Surprise My Pet Inc,https://www.crunchbase.com/organization/surprise-my-pet,"Community and Lifestyle, Health Care, Mobile","Chicago, Illinois, United States","Surprise My Pet offers a monthly box of dog goodies like tasty treats, fun toys and other exciting items. Other pets are coming soon :)","56,295",1/4/15,,2,4/10/15,30000,Seed,40000,Operating
Descendent Studios,https://www.crunchbase.com/organization/descendent-studios,"Gaming, Hardware, Software","Austin, Texas, United States",E-sports pilots fly drones through twisting 3D asteroid mines,"44,553",1/1/15,,1,4/10/15,600000,Seed,600000,Operating
"Anonygo, Inc.",https://www.crunchbase.com/organization/anonygo--inc-,"Media and Entertainment, Community and Lifestyle, Internet Services, Mobile","New York, New York, United States",Anonygo is an anonymous social network that allows people to share photos and text in real time without revealing their identities.,"49,844",12/1/13,,2,4/12/15,100000,Seed,200000,Operating
CabinetM,https://www.crunchbase.com/organization/cabinetm,"Sales and Marketing, Advertising","Boston, Massachusetts, United States",Discovery Platform for the Marketing Industry,"39,528",1/1/14,,1,4/12/15,120000,Seed,120000,Operating
Gasky,https://www.crunchbase.com/organization/gasky,"Natural Resources, Energy, Transportation, Mobile","Atlanta, Georgia, United States",Gasky is an on-demand fuel delivery app that will aim to elevate todayäó»s outdated car fueling experience for the on-demand generation.,"46,164",10/1/14,,1,4/13/15,100000,Seed,100000,Operating
Taplet,https://www.crunchbase.com/organization/taplet,"Apps, Software, Mobile","Los Angeles, California, United States","Mobile, rich-media communication","27,017",5/1/13,,2,4/15/15,1000000,Seed,1200000,Operating
"Decibol, Inc",https://www.crunchbase.com/organization/decibol--inc,"Media and Entertainment, Music and Audio, Financial Services","San Diego, California, United States","Decibol, Inc presents a series of web apps designed, developed, and targeted at helping artists and small labels in the modern music arena.","58,174",2/15/13,,1,4/15/15,54000,Seed,54000,Operating
3TEN8,https://www.crunchbase.com/organization/3ten8,Software,"Palo Alto, California, United States",Operate Better. Apply to our Senior Full-stack Engineer/Architect founding engineer role: https://jobs.lever.,"22,273",8/15/13,,1,4/15/15,1670000,Seed,1670000,Operating
"Coastal Risk Consulting, LLC",https://www.crunchbase.com/organization/coastal-risk-consulting,Information Technology,"Plantation, Florida, United States","The äóìCoastal Risk Rapid Assessmentäóù identifies a propertyäó»s future flood risk, changing the conversation around climate change.","43,185",1/1/14,,1,4/15/15,515000,Seed,515000,Operating
Anthology,https://www.crunchbase.com/organization/poachable,Professional Services,"Seattle, Washington, United States","Helping professionals discreetly manage, optimize and curate every major step of their career.","22,281",1/1/14,,3,4/15/15,750000,Seed,1750000,Operating
Nopical,https://www.crunchbase.com/organization/nopical,"Media and Entertainment, Internet Services, Content and Publishing","Los Angeles, California, United States",Social Media powered news aggregation site designed to categorize and prioritize data to show top discussed and relevant news in real-time,"44,844",8/1/14,,2,4/15/15,20000,Seed,25000,Operating
OpenHanger,https://www.crunchbase.com/organization/openhanger,"Apps, Commerce and Shopping, Software, Mobile","Chicago, Illinois, United States",OpenHanger is an online aggregate of clothing and accessories from a variety of retail stores.,"50,257",4/15/15,,1,4/15/15,350000,Seed,350000,Operating
Notify Nearby,https://www.crunchbase.com/organization/notify-nearby,"Apps, Hardware, Commerce and Shopping, Software, Mobile","New York, New York, United States",A fashion content app that gives shoppers a single place to get the inside scoop on all the brands they love shopping at.,"39,501",1/1/15,,1,4/15/15,50000,Seed,50000,Operating
CUaround,https://www.crunchbase.com/organization/cuaround-llc,"Science and Engineering, Hardware, Data and Analytics, Software, Sales and Marketing, Internet Services, Artificial Intelligence, Advertising","Boston, Massachusetts, United States",Making digital out-of-home advertising smarter by instantly connecting advertisers with consumers.,"30,738",4/1/15,,1,4/15/15,25000,Seed,25000,Operating
haystagg,https://www.crunchbase.com/organization/haystagg,"Media and Entertainment, Advertising","Manchester, New Hampshire, United States",haystagg utilizes real-time bidding and predictive ad targeting technology to engage targeted audiences through display advertising.,"23,372",5/10/13,,5,4/17/15,600000,Seed,1789475,Operating
Pledgeling,https://www.crunchbase.com/organization/pledgeling,"Internet Services, Mobile","Venice, California, United States","We empower brands, organizations and individuals to do good. #PledgeToDoGood","15,040",11/1/14,,1,4/17/15,4000000,Seed,4000000,Operating
Odd Networks,https://www.crunchbase.com/organization/odd-networks,"Media and Entertainment, Video","New York, New York, United States","Odd Networks is the creator of Oddworks, a SaaS platform for developing Over The Top video broadcast networks.","38,532",4/17/15,,1,4/17/15,250000,Seed,250000,Operating
"CovalentCareers, Inc.",https://www.crunchbase.com/organization/covalentcareers--inc-,"Health Care, Internet Services","San Diego, California, United States",Job matching and online HR tools for healthcare professionals,"45,785",1/1/15,,1,4/17/15,200000,Seed,200000,Operating
Listo!,https://www.crunchbase.com/organization/listo-financial,"Financial Services, Lending and Investments","San Jose, California, United States",Consumer financial services company offering insurance and loans via a retail/mobile experience to the Latino communities in the US,"9,693",1/1/14,,1,4/19/15,2800000,Seed,2800000,Operating
MapFlagged,https://www.crunchbase.com/organization/mapflagged,"Navigation and Mapping, Data and Analytics, Software, Internet Services","Washington, District of Columbia, United States","Let's simplify location based searches, togeäó†äó†ther.","49,412",1/1/13,,1,4/21/15,100000,Seed,100000,Operating
Stringify,https://www.crunchbase.com/organization/stringify,"Information Technology, Software, Internet Services","Los Gatos, California, United States",An Internet of Things (IoT) connection platform startup aiming to shape the transformation of the space,"8,458",1/1/14,,1,4/21/15,6300000,Seed,6300000,Operating
Mixmax,https://www.crunchbase.com/organization/mixmax,"Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",Mixmax is software that enables its users to boost their productivity.,"11,882",6/1/14,,1,4/21/15,1500000,Seed,1500000,Operating
Honey,https://www.crunchbase.com/organization/honey,"Media and Entertainment, Software, Internet Services, Content and Publishing","New York, New York, United States","Honey is a social intranet where employees discover, discuss and archive important content.","13,404",1/1/12,,2,4/22/15,1000000,Seed,2250000,Operating
Gone,https://www.crunchbase.com/organization/gone,"Commerce and Shopping, Transportation, Design, Mobile","Walnut, California, United States","Gone offers you the most value for electronics and gadgets you no longer use without the hassles of pricing, listing, or shipping.","10,912",1/1/13,,5,4/22/15,1000000,Seed,1900000,Operating
Vytmn,https://www.crunchbase.com/organization/vytmn,"Apps, Software","Venice, California, United States","Vytmn is a mobile app which helps to create end-to-end growth systems, traffic, email marketing.","27,969",1/1/15,,1,4/22/15,625000,Seed,625000,Operating
Wheel,https://www.crunchbase.com/organization/ferris,"Apps, Media and Entertainment, Software, Video, Mobile","Santa Monica, California, United States",Wheel is an app that was designed to make mobile videos watchable and shareable.,"17,631",1/1/12,,1,4/23/15,2000000,Seed,2000000,Was Acquired
Dash Robotics,https://www.crunchbase.com/organization/dash-robotics,"Science and Engineering, Hardware, Software","Hayward, California, United States","Dash Robotics builds high-performance andŒælow-cost robots by bringing together technology, biology, and advanced manufacturing techniques.","14,651",1/1/13,,3,4/23/15,1631545,Seed,1691696,Operating
i.me,https://www.crunchbase.com/organization/i-me,"Payments, Privacy and Security, Financial Services, Lending and Investments","Scottsdale, Arizona, United States","We are the next generation of Credit Bureaus, empowering people with the same tech that banks use to measure risk and much more.","28,259",9/15/12,,2,4/23/15,2500000,Seed,6500000,Operating
Headout,https://www.crunchbase.com/organization/tourlandish,"Travel and Tourism, Commerce and Shopping, Mobile","New York, New York, United States",Headout is an on-demand mobile concierge helping travelers book the best local experiences for the next 24 hours at discounted prices.,"9,410",7/1/14,,2,4/23/15,1800000,Seed,2166000,Operating
LiveList,https://www.crunchbase.com/organization/livelist,"Media and Entertainment, Music and Audio","Venice, California, United States",LiveList was built with the belief that live music can reach far beyond the stage where itäó»s being played.,"20,847",1/1/15,,1,4/23/15,1700000,Seed,1700000,Operating
GoldCleats Global,https://www.crunchbase.com/organization/goldcleats-global,"Media and Entertainment, Sports, Sales and Marketing, Professional Services, Internet Services","Arlington, Virginia, United States",Online Soccer Development & Recruitment,"35,799",2/1/13,,1,4/24/15,900000,Seed,900000,Operating
Airviz,https://www.crunchbase.com/organization/airviz,,"Pittsburgh, Pennsylvania, United States",Airviz is a personal air quality monitoring startup .,"24,200",1/1/14,,1,4/24/15,2000000,Seed,2000000,Operating
UCreate3D,https://www.crunchbase.com/organization/grom,"Hardware, Commerce and Shopping, Software","San Francisco, California, United States",On Demand 3D Printing for Retail,"46,659",10/1/12,,3,4/27/15,100000,Seed,250000,Operating
J.A.Y Vision Studios,https://www.crunchbase.com/organization/j-a-y-vision-studios,"Internet Services, Mobile","Lynn, Massachusetts, United States","Give your business a great boost with our quality Business Apps, start counting your success with our expertise.","63,966",4/1/14,,1,4/27/15,5000,Seed,5000,Operating
